ServiceCategory,ServiceName
Dentistry,Advanced head/neck radiographic imaging
Dentistry,Dental Implant Services - General
Dentistry,Dental Implant Services - Surgical Placement
Dentistry,Dental Services - General
Dentistry,Dental Services - Operating Room Services
Dentistry,Dental Sleep Apnea Treatment
Dentistry,Endodontic Services - General
Dentistry,Facial Pain/TMD Services
Dentistry,Oral and Maxillofacial Surgery Services
Dentistry,Oral and Maxillofacial Trauma incl Fractures
Dentistry,Periodontal Services - Advanced Surgical
Dentistry,Periodontal Services - General
Dentistry,Prosthetic Services - Dental
Geriatrics & Extended Care,Adult Day Health Care (ADHC)
Geriatrics & Extended Care,Dementia Clinics
Geriatrics & Extended Care,Geriatric Primary Care
Geriatrics & Extended Care,Geriatric Problem-Focused Clinics
Geriatrics & Extended Care,Home Based Treatment Services
Geriatrics & Extended Care,Home Palliative Care
Geriatrics & Extended Care,Hospice and Palliative Care Consultation Team
Geriatrics & Extended Care,Respite Care
Imaging,Angio Interventional - Interventional 
Imaging,Cardiac Perfusion Studies - Nuclear Medicine
Imaging,Cardiac Stress - Nuclear Medicine
Imaging,CT CTA
Imaging,CT Interventional
Imaging,CT Routine
Imaging,DEXA Scan
Imaging,Fluoroscopy - Joint
Imaging,Fluoroscopy - Routine
Imaging,MRI Epilepsy Protocol Imaging
Imaging,MRI MRA
Imaging,MRI Neurological
Imaging,MRI Routine
Imaging,MRI Spinal
Imaging,Nuclear Medicine Routine
Imaging,Ultrasound Routine
Imaging,X-RAY Routine
Medicine Services,Acupuncture
Medicine Services,Banding of varices
Medicine Services,Brain Mapping
Medicine Services,Bronchoscopy
Medicine Services,Cardiac Stress Testing
Medicine Services,Cardiology - Diagnostic
Medicine Services,Chemotherapy Clinic
Medicine Services,Chronic Kidney Disease (CKD) clinics
Medicine Services,Colonoscopy
Medicine Services,Control of bleeding by injection
Medicine Services,Dermatology
Medicine Services,Diabetes Clinic
Medicine Services,Echocardiography
Medicine Services,Electroencephalogram (EEG)
Medicine Services,Electromyography (EMG)
Medicine Services,Electrophysiology Procedures
Medicine Services,Endocrinology
Medicine Services,Endocrinology - Reproductive
Medicine Services,Endoscopic Retrograde Cholangiopancreatography (ERCP)
Medicine Services,Endoscopy
Medicine Services,Evoked Potential Testing
Medicine Services,Gastroenterology - General
Medicine Services,Hematology - General
Medicine Services,Hemodialysis
Medicine Services,Hemodialysis - Home / Self Care
Medicine Services,Hepatitis or Liver disease Clinics
Medicine Services,HIV Clinic
Medicine Services,Infectious Disease - General
Medicine Services,Internal Medicine - General
Medicine Services,Multiple Sclerosis Clinic
Medicine Services,Nephrology - General
Medicine Services,Neurology - General
Medicine Services,Obstructive Uropathies Management
Medicine Services,Oncology - General
Medicine Services,Oncology Palliative / Hospice Care
Medicine Services,Pacemaker Implants
Medicine Services,Pain Management - General
Medicine Services,Percutaneous endoscopic gastronomy (PEG)/ feeding tube placement
Medicine Services,Peritoneal Dialysis  - Home / Self Care
Medicine Services,Peritoneal Dialysis (CAPD)
Medicine Services,Pleural Biopsy
Medicine Services,Post Transplant Management
Medicine Services,Pulmonary - General
Medicine Services,Pulmonary Function Testing
Medicine Services,Renal biopsies
Medicine Services,Respiratory Therapy Services
Medicine Services,Rheumatology - General
Medicine Services,Sigmoidoscopy
Medicine Services,Sleep Studies / Sleep Medicine
Medicine Services,Thyroid aspiration
Mental Health Services,Mental Health Biomed Intervention
Mental Health Services,Mental Health Consultation
Mental Health Services,Mental Health Integrated Care
Mental Health Services,Mental Health Outpatient Individual and Group Services
Mental Health Services,Mental Health Primary Care Services
Mental Health Services,Neuropsychological Services
Mental Health Services,Opiod Substitution
Mental Health Services,Outpatient Case Management
Mental Health Services,Psychiatry Services - Individual / Group
Mental Health Services,Psycho Geriatric Group Services
Mental Health Services,Psycho Geriatric Individual Services
Mental Health Services,Psychology Services - Individual / Group
Mental Health Services,PTSD Group
Mental Health Services,PTSD Individual 
Mental Health Services,PTSD Teams
Mental Health Services,Services related to Military Sexual Trauma
Mental Health Services,Substance Use Disorder Intensive Counseling - Individual / Group
Mental Health Services,Substance Use Disorder Medication Clinic
Mental Health Services,Substance Use Disorder Treatment - Individual / Group
Pathology & Laboratory Medicine Service,"Advanced Coagulation Testing, reference lab"
Pathology & Laboratory Medicine Service,Autopsy Pathology
Pathology & Laboratory Medicine Service,Blood Banking/ Transfusion Medicine
Pathology & Laboratory Medicine Service,"Chemistry, special lab"
Pathology & Laboratory Medicine Service,"Crystal identification, reference lab"
Pathology & Laboratory Medicine Service,Dermatopathology Specialized
