ID,Text,BG Color,Sticky type,Border line,Position X,Position Y,Area,Link to,Last Updated By,Last Updated,Last Content Edited By,Last Content Edited,Tags,Integration Labels
102-1751965316751,"I see the security reason, but it should be easy for us",#FADAB3,3x3,NO,13866.00,12848.31,Personal Info - prefers self edits,,Hieu Vo,2025-07-21T11:30:46-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
82-1751965316751,"Sometimes things can be wrong: misspelling middle name; to have to call isn't preferable, would like it to just be easy",#FADAB3,3x3,NO,13705.70,12686.31,Personal Info - prefers self edits,,Hieu Vo,2025-07-21T11:30:46-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
254-1751965316751,Wants to know if the review information will be editable later; on the very first screen - doesn't see any way to edit the info on the page,#FADAB3,3x3,NO,14029.70,12524.31,Personal Info - prefers self edits,,Hieu Vo,2025-07-21T11:30:46-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
255-1751965316751,"Sometimes calling the number means you have to wait, due to the hours - does a lot of stuff in the middle of the night when it's quiet",#FADAB3,3x3,NO,13543.70,12686.31,Personal Info - prefers self edits,,Hieu Vo,2025-07-21T11:30:46-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
137-1751965316751,"but if it is wrong, and if they don't use VA -- they were misspelling my middle name for a long time. Untill I started using it I found out",#FADAB3,3x3,NO,13866.00,12686.31,Personal Info - prefers self edits,,Hieu Vo,2025-07-21T11:30:46-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
244-1751965316751,"is it possible to later to edit this (personal) say the birthday is wrong, an edit box",#FADAB3,3x3,NO,14029.70,12848.31,Personal Info - prefers self edits,,Hieu Vo,2025-07-21T11:30:46-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
236-1751965316751,Wishes the call center had longer operating hours for west coast,#FADAB3,3x3,NO,14029.70,12686.31,Personal Info - prefers self edits,,Hieu Vo,2025-07-21T11:30:46-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
42-1751855579883,is there a way other than calling the 800 number to update this information? say DOB is wrong.,#9EDCFA,3x3,NO,13543.70,12524.31,Personal Info - prefers self edits,,Hieu Vo,2025-07-21T11:30:46-07:00,Hieu Vo,2025-07-06T19:33:05-07:00,[],[]
39-1751855579883,"not sure who does this, is this what I do online or does VA support people do that",#9EDCFA,3x3,NO,13543.70,12362.31,Personal Info - prefers self edits,,Hieu Vo,2025-07-21T11:30:46-07:00,Hieu Vo,2025-07-06T19:33:05-07:00,[],[]
38-1751855579883,"um...possible (edit DOB) hate having to call 800 numbers to do things, the VA number to work thorugh a menu is never fun",#9EDCFA,3x3,NO,13867.70,12524.31,Personal Info - prefers self edits,,Hieu Vo,2025-07-21T11:30:46-07:00,Hieu Vo,2025-07-06T19:33:05-07:00,[],[]
145-1751855579883,"Possibly wants an easier way to edit Veteran info ""I hate calling an 800 number""",#9EDCFA,3x3,NO,14029.70,12362.31,Personal Info - prefers self edits,,Hieu Vo,2025-07-21T11:30:46-07:00,Hieu Vo,2025-07-06T19:33:05-07:00,[],[]
159-1751855579883,"I'm not sure who enters this information (about me). Do I enter it first, or does VA provide it?",#9EDCFA,3x3,NO,13867.70,12362.31,Personal Info - prefers self edits,,Hieu Vo,2025-07-21T11:30:46-07:00,Hieu Vo,2025-07-06T19:33:05-07:00,[],[]
126-1751855579883,"Volunteers at a VA facility weekly so he'd go in person if there was an error, wouldn't want to call the phone system",#9EDCFA,3x3,NO,13705.70,12524.31,Personal Info - prefers self edits,,Hieu Vo,2025-07-21T11:30:46-07:00,Hieu Vo,2025-07-06T19:33:05-07:00,[],[]
184-1751855579883,Is there a way other than calling the 800 number to update this information if it's incorrect?,#9EDCFA,3x3,NO,13705.70,12362.31,Personal Info - prefers self edits,,Hieu Vo,2025-07-21T11:30:46-07:00,Hieu Vo,2025-07-06T19:33:05-07:00,[],[]
0-1751481997577,"""Just seems like it's an information page; doesn't ask me to take any real action.""",#86E6D9,3x3,NO,13705.70,12848.31,Personal Info - prefers self edits,,Hieu Vo,2025-07-21T11:30:46-07:00,Hieu Vo,2025-07-02T11:46:38-07:00,[],[]
93-1751419105986,Confused about why he would need to call to update to information when he's already updating information online,#86E6D9,3x3,NO,13543.70,12848.31,Personal Info - prefers self edits,,Hieu Vo,2025-07-21T11:30:46-07:00,Hieu Vo,2025-07-01T18:18:30-07:00,[],[]
48-1751406582449,Save so much money if Veterans could edit that info themselves,#86E6D9,3x3,NO,13705.70,13010.31,Personal Info - prefers self edits,,Hieu Vo,2025-07-21T11:30:46-07:00,Hieu Vo,2025-07-01T14:49:45-07:00,[],[]
97-1751406582449,"Seems like an information page for me, doesn't ask me to take action",#86E6D9,3x3,NO,13543.70,13010.31,Personal Info - prefers self edits,,Hieu Vo,2025-07-21T11:30:46-07:00,Hieu Vo,2025-07-01T14:49:45-07:00,[],[]
114-1751965333816,Consider a dropdown to further explain Net income ,#B8B299,3x3,NO,27125.36,12848.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-07-08T02:02:26-07:00,[],[]
