FTKEY,FTDESC
DG5000,Osteomyelitis
DG5001,"Bones and joints, tuberculosis of"
DG5002,Arthritis rheumatoid (atrophic)
DG5003,"Arthritis, degenerative (hypertrophic or osteoarthritis)"
DG5004,"Arthritis, gonorrheal"
DG5005,"Arthritis, pneumococcic"
DG5006,"Arthritis, typhoid"
DG5007,"Arthritis, syphilitic"
DG5008,"Arthritis, streptococcic"
DG5009,"Arthritis, other types"
DG5010,"Arthritis, due to trauma"
DG5011,"Bones, caisson disease of"
DG5012,"Bones, new growths of, malignant"
DG5013,"Osteoporosis, with joint manifestations"
DG5014,Osteomalacia
DG5015,"Bones, new growths of, benign"
DG5016,Osteitis deformans
DG5017,Gout
DG5018,"Hydrarthrosis, intermittent"
DG5019,Bursitis
DG5020,Synovitis
DG5021,Myositis
DG5022,Periostitis
DG5023,Myositis ossificans
DG5024,Tenosynovitis
DG5025,"Fibromyalgia (fibrositis, primary fibromyalgia syndrome)"
DG5051,Shoulder replacement (prosthesis)
DG5052,Elbow replacement (prosthesis)
DG5053,Wrist replacement (prosthesis)
DG5054,Hip replacement (prosthesis)
DG5055,Knee replacement (prosthesis)
DG5056,Ankle replacement (prosthesis)
DG5099,Other musculoskeletal disease
DG5104,Anatomical loss of one hand and loss of use of one foot
DG5105,Anatomical loss of one foot and loss of use of one hand
DG5106,Anatomical loss of both hands
DG5107,Anatomical loss of both feet
DG5108,Anatomical loss of one hand and one foot
DG5109,Loss of use of both hands
DG5110,Loss of use of both feet
DG5111,Loss of use of one hand and one foot
DG5120,"Arm, amputation of:  Disarticulation"
DG5121,"Arm, amputation of:  Above insertion of deltoid"
DG5122,"Arm, amputation of:  Below insertion of deltoid"
DG5123,"Forearm, amputation of:  Above insertion of pronator teres"
DG5124,"Forearm, amputation of:  Below insertion of pronator teres"
DG5125,"Hand, loss of use of"
DG5126,"Five digits of one hand, amputation of"
DG5127,"Four digits of one hand, amputation of:  Thumb, index, middle and ring"
DG5128,"Four digits of one hand, amputation of:  Thumb, index, middle and little."
DG5129,"Four digits of one hand, amputation of:  Thumb, index, ring and little"
DG5130,"Four digits of one hand, amputation of:  Thumb, middle, ring and little"
DG5131,"Four digits of one hand, amputation of:  Index, middle, ring and little"
DG5132,"Three digits of one hand, amputation of:  Thumb, index and middle"
DG5133,"Three digits of one hand, amputation of:  Thumb, index and ring"
DG5134,"Three digits of one hand, amputation of:  Thumb, index and little"
DG5135,"Three digits of one hand, amputation of:  Thumb, middle and ring"
DG5136,"Three digits of one hand, amputation of:  Thumb, middle and little"
DG5137,"Three digits of one hand, amputation of:  Thumb, ring and little"
DG5138,"Three digits of one hand, amputation of:  Index, middle and ring"
DG5139,"Three digits of one hand, amputation of:  Index, middle and little"
DG5140,"Three digits of one hand, amputation of:  Index, ring and little"
DG5141,"Three digits of one hand, amputation of:  Middle, ring and little"
DG5142,"Two digits of one hand, amputation of:  Thumb and index"
DG5143,"Two digits of one hand, amputation of:  Thumb and middle"
DG5144,"Two digits of one hand, amputation of:  Thumb and ring"
DG5145,"Two digits of one hand, amputation of:  Thumb and little"
DG5146,"Two digits of one hand, amputation of:  Index and middle"
DG5147,"Two digits of one hand, amputation of:  Index and ring"
DG5148,"Two digits of one hand, amputation of:  Index and little"
DG5149,"Two digits of one hand, amputation of:  Middle and ring"
DG5150,"Two digits of one hand, amputation of:  Middle and little"
DG5151,"Two digits of one hand, amputation of:  Ring and little"
DG5152,"Thumb, amputation of"
DG5153,"Index finger, amputation of"
DG5154,"Middle finger, amputation of"
DG5155,"Ring finger, amputation of"
DG5156,"Little finger, amputation of"
DG5160,"Thigh, amputation of:  Disarticulation, with loss of extrinsic pelvic girdle muscles"
DG5161,"Thigh, amputation of:  Upper third"
DG5162,"Thigh, amputation of:  Middle or lower thirds"
DG5163,"Leg, amputation of:  With defective stump, thigh amputation recommended"
DG5164,"Leg, amputation of:  Not improvable by prosthesis controlled by natural knee action"
DG5165,"Leg, amputation of:  At a lower level, permitting prosthesis"
DG5166,"Forefoot, amputation proximal to metatarsal bones (more than one-half of metatarsal loss)"
DG5167,"Foot, loss of use of"
DG5170,"Toes, all, amputation of, without metatarsal loss"
DG5171,"Toe, great, amputation of"
DG5172,"Toes, one or two, other than great, amputation of"
DG5173,"Toes, three or four, amputation of, without metatarsal involvement"
DG5199,Other amputations
DG5200,"Scapulohumeral articulation, ankylosis of"
DG5201,"Arm, limitation of motion of"
DG5202,"Humerus, other impairment of"
DG5203,"Clavicle or scapula, impairment of"
DG5205,"Elbow, ankylosis of"
DG5206,"Forearm, limitation of flexion of"
DG5207,"Forearm, limitation of extension of"
DG5208,"Forearm, flexion limited to 100 deg. and extension to 45 deg."
DG5209,"Elbow, other impairment of Flail joint"
DG5210,"Radius and ulna, nonunion of, with flail false joint"
DG5211,"Ulna, impairment of"
DG5212,"Radius, impairment of"
DG5213,"Forearm, supination and pronation, impairment of"
DG5214,"Wrist, ankylosis of"
DG5215,"Wrist, limitation of motion of"
DG5216,"Five digits of one hand, unfavorable ankylosis of"
DG5217,"Four digits of one hand, unfavorable ankylosis of"
DG5218,"Three digits of one hand, unfavorable ankylosis of"
DG5219,"Two digits of one hand, unfavorable ankylosis of"
DG5220,"Five digits of one hand, favorable ankylosis of"
DG5221,"Four digits of one hand, favorable ankylosis of"
DG5222,"Three digits of one hand, favorable ankylosis of"
DG5223,"Two digits of one hand, favorable ankylosis of"
DG5224,"Thumb, ankylosis of"
DG5225,"Index finger, ankylosis of"
DG5226,"Middle finger, ankylosis of"
DG5227,"Ring or little finger, ankylosis of"
DG5228,"Thumb, limitation of motion"
DG5229,"Index or long finger, limitation of motion"
DG5230,"Ring or little finger, limitation of motion"
DG5235,Vertebral fracture or dislocation
DG5236,Sacroiliac injury and weakness
DG5237,Lumbosacral or cervical strain
DG5238,Spinal stenosis
DG5239,Spondylolisthesis or segmental instability
DG5240,Ankylosing spondylitis
DG5241,Spinal Fusion
DG5242,Degenerative arthritis of the spine (see also diagnostic code 5003)
DG5243,Intervertebral disc syndrome
DG5250,"Hip, ankylosis of"
DG5251,"Thigh, limitation of extension of"
DG5252,"Thigh, limitation of flexion of"
DG5253,"Thigh, impairment of"
DG5254,"Hip, flail joint"
DG5255,"Femur, impairment of"
DG5256,"Knee, ankylosis of"
DG5257,"Knee, other impairment of"
DG5258,"Cartilage, semilunar, dislocated"
DG5259,"Cartilage, semilunar, removal of, symptomatic"
DG5260,"Leg, limitation of flexion of"
DG5261,"Leg, limitation of extension of"
DG5262,"Tibia and fibula, impairment of"
DG5263,Genu recurvatum
DG5270,"Ankle, ankylosis of"
DG5271,"Ankle, limited motion of"
DG5272,"Subastragalar or tarsal joint, ankylosis of"
DG5273,"Os calcis or astragalus, malunion of"
DG5274,Astragalectomy
DG5275,"Bones, of the lower extremity, shortening of"
DG5276,"Flatfoot, acquired"
DG5277,"Weak foot, bilateral"
DG5278,"Claw foot (pes cavus), acquired"
DG5279,"Metatarsalgia, anterior (Morton's disease)"
DG5280,"Hallux valgus, unilateral"
DG5281,"Hallux rigidus, unilateral, severe"
DG5282,Hammer toe
