Name,Additional,Admin,After / End of Life,Assistance,Basic Medical Care,Benefits,Burial and cemetery,Care Types,Claims Assistance,Clinics,Commentary on these,Community,Counseling,Death,Disability,Education and/or Employment,Emergency/Immediate,Family,General,Geriatric,Important,Locations,Low priority,Medical/Physical,Mental Health,Orthopedics,Other,Primary Care,Rehabilitation,Research & Resources,Services,Specialty,Surgery,VA Specified,Veteran specific,Women,did not categorize,specialty,Not standardized
Applying For Benefits,,7,1,1,1,13,,,2,,,,1,1,3,1,,,2,,,,1,,,,1,,,,1,,,1,2,,3,,2
Army/Cemetery,1,1,2,,1,3,17,,,,1,,,7,,,,1,,1,,2,1,,,,,,,1,,,,,2,,3,,
Audiology,,1,1,,1,,,,,3,,,,,1,,,,,,1,,,12,,,,1,1,,,2,,,,,3,13,4
Bariatric surgery (weight loss surgery),,1,,,1,,,,,1,,,,,,,,,,,,,2,12,,,1,,,,,1,11,,,,4,7,3
Bereavement (grief) counseling,,2,,,1,2,3,,,,,,9,4,,,,2,,,1,,,,9,,,,,,2,,,2,2,,3,,2
Burial Claim Assistance,,3,2,,1,6,12,,1,,,,,6,,,,1,,1,1,1,,,,,,,,1,,,,,4,,3,1,
Cardiology,1,1,,,1,,,,,3,,,,,,,,,,1,1,,,12,,,,1,,,,,1,,,,3,17,2
Chaplain (spiritual support),,1,1,,1,1,2,,,,,1,10,2,,,,2,,,1,,,1,5,,,1,,1,2,4,,1,3,,3,,1
Community outreach and education,,3,,1,1,7,1,,1,,,4,2,,,3,,1,1,,1,,2,,2,,1,,,1,2,,,2,3,,3,1,1
Community urgent care,,1,,,1,,,1,,2,,4,,,,,7,1,4,,3,,,8,,,,,,1,1,,,1,,,5,2,2
Confederate cemetery,,1,3,,1,3,16,,,,1,1,,5,,,,,,1,,2,2,,,,,,,1,,1,,,2,,3,,1
Critical Care Specialty,,1,,,1,,,2,,2,,,,,,,3,,4,,3,,,11,,,1,1,,,,1,1,,,,4,8,1
Dental services,1,1,1,,1,,,1,,3,,,,,,,,,2,,2,,,12,,,1,1,,,,6,1,,,,3,7,1
Dermatology,,1,,,1,,,,,3,,,,,,,,,,,,,1,13,,,,1,,,,,,,,,4,17,3
Diabetes and Endocrinology,1,1,,,1,,,,,3,,,,,,,,,,1,1,,,13,,,,1,,,,1,2,,,,3,13,3
Disability Claim Assistance,,6,,1,1,12,,,2,,1,1,2,,4,1,,,1,,2,,,,,,1,,,,1,,,,3,,3,,2
eBenefits Registration Assistance,,7,1,2,1,14,,,1,,,,1,,1,1,,,2,,2,,,,,,1,,,,1,,,1,3,,3,,2
Education And Career Counseling,,3,1,1,1,6,,,,,,1,9,,,6,,1,,,1,,2,,,,,,1,1,2,,,2,2,,3,,1
Education Claim Assistance,,6,1,1,1,11,,,2,,,1,3,,1,4,,,1,,1,,2,,,,1,,,,1,,,,3,,3,,1
Emergency care,,1,,,1,,,2,,2,,1,,,,,7,,5,,2,,,10,,,1,,,,,,,1,,,6,3,2
Employment referral,,4,1,2,1,7,,,1,,,1,4,,,5,,1,,,1,,2,,1,,1,,1,1,3,,,1,2,,3,,1
Family counseling for military related issues,,2,,1,1,3,,,,,,,12,,,,,4,,,,,2,1,7,,,,,1,2,,,1,3,,3,,1
Gastroenterology,,1,,,1,,,,,3,,,,,,,,,,1,,,1,12,,,,1,,,,1,2,,,,3,16,2
Geriatric Care,2,1,,,1,,,2,,3,,,,,,,,,2,3,1,,,12,,,,,,,1,,,,,,3,13,
Government lots,,2,2,,1,3,16,,,,2,1,,4,,,,,,1,,2,2,,,,1,,,1,,,,,2,,3,1,
Gynecology,,1,,,1,,,,,2,,,,,,,,,,,,,1,11,,,,,,,,,1,,,11,4,10,2
Homeless Assistance,,2,1,2,1,5,,,1,,,3,2,,,3,,1,1,,2,,1,,4,,2,,,1,3,1,,1,4,,3,,
"Individual and group counseling for Veterans, service members, and their families",,2,,1,1,1,,,,,,,12,,,,,4,,,1,,1,1,8,,,,,1,2,,,1,3,,3,,2
Infectious Disease,,1,,,1,,,,,1,,,,,,,1,,,,2,,,13,,,2,,,1,,1,,,,,5,16,
Integrated Disability Evaluation System Assistance,1,5,1,1,1,12,,,1,1,1,1,,,4,1,,,1,,2,,,,,,1,,,,1,,,1,3,,3,,2
Mental health care,1,1,1,,2,,,2,,2,,,5,,,,,,1,,2,,,9,10,,,,,,,,,1,,,3,4,
Military sexual trauma counseling and referral,,2,,,1,1,,1,,1,,,11,,,,,2,,,1,,2,1,9,,1,,,1,2,1,,1,2,,3,,1
Monument sites,,1,3,,1,3,16,,,,1,1,,5,,,,,,1,,2,2,,,,,,,1,,1,,,2,,3,,1
National cemetery,1,1,2,,1,3,17,,,,1,1,,7,,,,,,1,1,2,,,,,,,,1,,,,,2,,3,,
Nephrology (kidney),,1,,,1,,,,,3,,,,,,,,,,1,,,1,12,,,,1,,,,,3,,,,3,16,2
Neurology (nerves),,1,,,1,,,,,3,,,,,,,,,,,1,,,12,,,,1,,,,1,1,,,,3,17,3
Oncology (cancer),1,1,,,1,,,,,3,,,,,,,,,,1,1,,,12,,,,,,,,1,1,,,,4,18,
Opthalmology,1,1,,,1,,,,,3,,,,,,,,,,1,1,,,13,,,,1,,,1,1,1,,,,3,13,3
Optometry,1,1,,,1,,,,,3,,,,,,,,,1,1,1,,,13,,,,1,1,,2,1,,,,,3,11,3
Orthopedics,,1,,,1,,,,,3,,,,,,,,,,,1,,,12,,3,,1,,,,,1,,,,3,16,2
Orthotic and Prosthetic (amputee care and custom orthotics),,2,,,1,,,1,,3,,,,,,,,,,,1,,2,12,,2,,1,1,,,,1,,,,3,13,1
Pacemaker (heart),1,1,,,1,,,,,3,,,,,,,,,1,1,,,1,11,,,1,,,,,,4,,,,4,12,3
Pre Discharge Claim Assistance,,7,1,2,1,11,,,2,,,,2,,1,1,,,2,,1,,1,1,,,1,,,,1,1,,,3,,4,,1
Primary care,,1,,,2,,,2,,4,,,,,,,,,5,,1,,,13,,,,3,,,,1,,1,,,4,5,2
Pulmonary (lungs),1,1,,,1,,,,,3,,,,,,,,,,,1,,,12,,,,1,,,,,3,,,,3,15,3
Referral of other VA services,,8,1,2,1,11,,,,,,,4,,,1,,,1,,2,,,1,,,2,,1,,1,,,2,2,,3,,1
Robotic-Assisted Surgery,,1,,,1,,,,,,,,,,,,,,,,,,2,10,,1,1,,,1,,1,11,,,,4,9,2
Rural cemetery,,1,2,,1,3,17,,,,1,,,7,,,,1,,1,,2,1,,,,,,,1,,,,,2,,3,1,
Soldiers lot,,2,2,,1,3,16,,,,2,1,,5,,,,,,1,,2,2,,,,,,,1,,,,,2,,3,1,
Spinal Cord Injury,,1,,,1,,,,,3,,,,,,,,,,,,,2,11,,,,,1,,,,3,,,,4,13,5
Substance abuse assessment and referral,1,2,,,1,2,,,,,,,9,,,1,,1,,,1,,2,2,9,,,,,1,3,,,1,2,,3,2,1
