Submitted Vets.gov Applications - Report FYTD 2019 as of 2019-07-15
"","",DOCUMENT TYPE
RPO,BENEFIT TYPE,22-1990,"","",22-1995,"","",22-1990e,"","",22-5490,"","",22-5495,"","",22-1990n,"","",22-0993,"","",22-0994,"",""
"","",2018-10-01..2019-07-15 23:59:59 UTC,"",2019-07-15 00:00:00 UTC..2019-07-15 23:59:59 UTC,2018-10-01..2019-07-15 23:59:59 UTC,"",2019-07-15 00:00:00 UTC..2019-07-15 23:59:59 UTC,2018-10-01..2019-07-15 23:59:59 UTC,"",2019-07-15 00:00:00 UTC..2019-07-15 23:59:59 UTC,2018-10-01..2019-07-15 23:59:59 UTC,"",2019-07-15 00:00:00 UTC..2019-07-15 23:59:59 UTC,2018-10-01..2019-07-15 23:59:59 UTC,"",2019-07-15 00:00:00 UTC..2019-07-15 23:59:59 UTC,2018-10-01..2019-07-15 23:59:59 UTC,"",2019-07-15 00:00:00 UTC..2019-07-15 23:59:59 UTC,2018-10-01..2019-07-15 23:59:59 UTC,"",2019-07-15 00:00:00 UTC..2019-07-15 23:59:59 UTC,2018-10-01..2019-07-15 23:59:59 UTC,"",2019-07-15 00:00:00 UTC..2019-07-15 23:59:59 UTC
"","","",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File
BUFFALO (307),chapter33,73,1,1,47,18,18,1,0,0,0,0,0,1,1,1,"","","","","","",0,0,0
"",chapter1607,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter1606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter32,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter35,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,"","","","","","",0,0,0
"",transfer of entitlement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",vettec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",844,0,0
"",chapter30,56,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"",TOTAL,129,2,2,51,19,19,1,0,0,2,0,0,2,1,1,1,0,0,0,0,0,844,0,0
ST. LOUIS (331),chapter33,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter1606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter32,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"","","","","","",0,0,0
"",transfer of entitlement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",vettec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter30,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"",TOTAL,4,0,0,4,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MUSKOGEE (351),chapter33,5,0,0,3,0,0,1,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter1607,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter1606,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter35,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,"","","","","","",0,0,0
"",transfer of entitlement,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",vettec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0
"",TOTAL,10,0,0,7,3,3,1,0,0,2,0,0,2,0,0,4,0,0,2,0,0,0,0,0
ALL RPOS TOTAL,"",143,2,2,62,24,24,2,0,0,5,0,0,4,1,1,6,0,0,2,0,0,844,0,0
"","",22-1990,"","",22-1995,"","",22-1990e,"","",22-5490,"","",22-5495,"","",22-1990n,"","",22-0993,"","",22-0994,"",""
