Submitted Vets.gov Applications - Report FYTD 2019 as of 2019-07-21
"","",DOCUMENT TYPE
RPO,BENEFIT TYPE,22-1990,"","",22-1995,"","",22-1990e,"","",22-5490,"","",22-5495,"","",22-1990n,"","",22-0993,"","",22-0994,"",""
"","",2018-10-01..2019-07-21 23:59:59 UTC,"",2019-07-21 00:00:00 UTC..2019-07-21 23:59:59 UTC,2018-10-01..2019-07-21 23:59:59 UTC,"",2019-07-21 00:00:00 UTC..2019-07-21 23:59:59 UTC,2018-10-01..2019-07-21 23:59:59 UTC,"",2019-07-21 00:00:00 UTC..2019-07-21 23:59:59 UTC,2018-10-01..2019-07-21 23:59:59 UTC,"",2019-07-21 00:00:00 UTC..2019-07-21 23:59:59 UTC,2018-10-01..2019-07-21 23:59:59 UTC,"",2019-07-21 00:00:00 UTC..2019-07-21 23:59:59 UTC,2018-10-01..2019-07-21 23:59:59 UTC,"",2019-07-21 00:00:00 UTC..2019-07-21 23:59:59 UTC,2018-10-01..2019-07-21 23:59:59 UTC,"",2019-07-21 00:00:00 UTC..2019-07-21 23:59:59 UTC,2018-10-01..2019-07-21 23:59:59 UTC,"",2019-07-21 00:00:00 UTC..2019-07-21 23:59:59 UTC
"","","",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File
BUFFALO (307),chapter33,77,0,0,146,0,0,1,0,0,0,0,0,1,0,0,"","","","","","",0,0,0
"",chapter1607,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter1606,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter32,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter35,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,"","","","","","",0,0,0
"",transfer of entitlement,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",vettec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",848,0,0
"",chapter30,58,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"",TOTAL,135,0,0,157,0,0,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0,848,0,0
ST. LOUIS (331),chapter33,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter1606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter32,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter35,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"","","","","","",0,0,0
"",transfer of entitlement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",vettec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter30,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"",TOTAL,4,0,0,11,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MUSKOGEE (351),chapter33,5,0,0,8,0,0,1,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter1607,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter1606,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter35,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,"","","","","","",0,0,0
"",transfer of entitlement,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",vettec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter30,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0
"",TOTAL,10,0,0,25,0,0,1,0,0,2,0,0,2,0,0,4,0,0,2,0,0,0,0,0
ALL RPOS TOTAL,"",149,0,0,193,0,0,2,0,0,6,0,0,4,0,0,6,0,0,2,0,0,848,0,0
"","",22-1990,"","",22-1995,"","",22-1990e,"","",22-5490,"","",22-5495,"","",22-1990n,"","",22-0993,"","",22-0994,"",""
