Submitted Vets.gov Applications - Report FYTD 2019 as of 2019-07-17
"","",DOCUMENT TYPE
RPO,BENEFIT TYPE,22-1990,"","",22-1995,"","",22-1990e,"","",22-5490,"","",22-5495,"","",22-1990n,"","",22-0993,"","",22-0994,"",""
"","",2018-10-01..2019-07-17 23:59:59 UTC,"",2019-07-17 00:00:00 UTC..2019-07-17 23:59:59 UTC,2018-10-01..2019-07-17 23:59:59 UTC,"",2019-07-17 00:00:00 UTC..2019-07-17 23:59:59 UTC,2018-10-01..2019-07-17 23:59:59 UTC,"",2019-07-17 00:00:00 UTC..2019-07-17 23:59:59 UTC,2018-10-01..2019-07-17 23:59:59 UTC,"",2019-07-17 00:00:00 UTC..2019-07-17 23:59:59 UTC,2018-10-01..2019-07-17 23:59:59 UTC,"",2019-07-17 00:00:00 UTC..2019-07-17 23:59:59 UTC,2018-10-01..2019-07-17 23:59:59 UTC,"",2019-07-17 00:00:00 UTC..2019-07-17 23:59:59 UTC,2018-10-01..2019-07-17 23:59:59 UTC,"",2019-07-17 00:00:00 UTC..2019-07-17 23:59:59 UTC,2018-10-01..2019-07-17 23:59:59 UTC,"",2019-07-17 00:00:00 UTC..2019-07-17 23:59:59 UTC
"","","",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File,"",Submitted,Sent to Spool File
BUFFALO (307),chapter33,75,1,1,94,9,9,1,0,0,0,0,0,1,0,0,"","","","","","",0,0,0
"",chapter1607,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter1606,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter35,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,"","","","","","",0,0,0
"",transfer of entitlement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",vettec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",844,0,0
"",chapter30,57,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"",TOTAL,132,2,2,99,9,9,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0,844,0,0
ST. LOUIS (331),chapter33,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter1606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter35,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,"","","","","","",0,0,0
"",transfer of entitlement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",vettec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter30,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"",TOTAL,4,0,0,6,2,2,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
MUSKOGEE (351),chapter33,5,0,0,4,0,0,1,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter1607,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter1606,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter35,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,"","","","","","",0,0,0
"",transfer of entitlement,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",vettec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",0,0,0
"",chapter30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0
"",TOTAL,10,0,0,13,0,0,1,0,0,2,0,0,2,0,0,4,0,0,2,0,0,0,0,0
ALL RPOS TOTAL,"",146,2,2,118,11,11,2,0,0,6,1,1,4,0,0,6,0,0,2,0,0,844,0,0
"","",22-1990,"","",22-1995,"","",22-1990e,"","",22-5490,"","",22-5495,"","",22-1990n,"","",22-0993,"","",22-0994,"",""
