file, oldUrl, newUrl, result, error 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice%20Areas/Research/research_plan_template.md, https://github.com/department-of-veterans-affairs/va.gov-team/blob/master/platform/research/research-plan-template.md, url doesn't exist, none 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice%20Areas/Research/Research%20History.md, https://github.com/department-of-veterans-affairs/va.gov-team/blob/master/platform/research/research-history.md, url doesn't exist, none 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice%20Areas/Research/June2019_updated_research_process.md, https://github.com/department-of-veterans-affairs/va.gov-team/blob/master/platform/research/research-process.md, url doesn't exist, none 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/tree/master/Practice%20Areas/Research, https://github.com/department-of-veterans-affairs/va.gov-team/blob/master/platform/research/README.md, url doesn't exist, none 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice%20Areas/Research/Discovery/readme.md, https://github.com/department-of-veterans-affairs/va.gov-team/blob/master/platform/research/discovery-sprints/README.md, url doesn't exist, none 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice%20Areas/Research/Discovery/Archive/End%20of%20Discovery%20Readout%20Template.pptx, https://github.com/department-of-veterans-affairs/va.gov-team/blob/master/platform/research/discovery-sprints/End%20of%20Discovery%20Readout%20Template.pptx, url doesn't exist, none 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice%20Areas/Research/Discovery/Archive/Master%20Stakeholder%20Deck%20Template.pptx, https://github.com/department-of-veterans-affairs/va.gov-team/blob/master/platform/research/discovery-sprints/Master%20Stakeholder%20Deck%20Template.pptx, url doesn't exist, none 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice%20Areas/Research/Discovery/DiscoveryProjectBrief.md, https://github.com/department-of-veterans-affairs/va.gov-team/blob/master/platform/research/discovery-sprints/discovery-project-brief.md, url doesn't exist, none 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice%20Areas/Research/Discovery/DiscoverySprintHowTo.md, https://github.com/department-of-veterans-affairs/va.gov-team/blob/master/platform/research/discovery-sprints/how-to-run-discovery-sprint.md, url doesn't exist, none 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice%20Areas/Research/Discovery/DiscoveryTeamKickOff.md, https://github.com/department-of-veterans-affairs/va.gov-team/blob/master/platform/research/discovery-sprints/discovery-team-kickoff.md, url doesn't exist, none 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice%20Areas/Research/Discovery/RetroHowTo.md, https://github.com/department-of-veterans-affairs/va.gov-team/blob/master/platform/research/discovery-sprints/how-to-run-discovery-retro.md, url doesn't exist, none 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice%20Areas/Research/Discovery/SampleDiscoverySprintSchedule.md, https://github.com/department-of-veterans-affairs/va.gov-team/blob/master/platform/research/discovery-sprints/sample-discovery-sprint-schedule.md, url doesn't exist, none 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice%20Areas/Research/Discovery/USDS_Working_Backwards_Document_Template%5B1%5D.pdf, https://github.com/department-of-veterans-affairs/va.gov-team/blob/master/platform/research/discovery-sprints/USDS_Working_Backwards_Document_Template%5B1%5D.pdf, url doesn't exist, none 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice%20Areas/Research/Discovery/WhiteHouseLetters.md, https://github.com/department-of-veterans-affairs/va.gov-team/blob/master/platform/research/discovery-sprints/white-house-letters.md, url doesn't exist, none 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice%20Areas/Research/Discovery/supplemental-toolkit.md, https://github.com/department-of-veterans-affairs/va.gov-team/blob/master/platform/research/README.md, url doesn't exist, none 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice%20Areas/Research/Discovery/workingwithstakeholders.md, https://github.com/department-of-veterans-affairs/va.gov-team/blob/master/platform/research/discovery-sprints/working-with-stakeholders.md, url doesn't exist, none 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/tree/master/Practice%20Areas/Research/Request%20or%20Do%20Research, https://github.com/department-of-veterans-affairs/va.gov-team/blob/master/platform/research/planning/README.md, url doesn't exist, none 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice%20Areas/Research/Request%20or%20Do%20Research/5things_designers_researchers_wish_you_knew.md, https://github.com/department-of-veterans-affairs/va.gov-team/blob/master/platform/research/discovery-sprints/what-you-should-know-about-research.md, url doesn't exist, none 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice%20Areas/Research/Request%20or%20Do%20Research/lead-researcher-checklist-research-projects.md, https://github.com/department-of-veterans-affairs/va.gov-team/blob/master/platform/research/discovery-sprints/lead-researcher-checklist-research-projects.md, url doesn't exist, none 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice%20Areas/Research/Request%20or%20Do%20Research/veteran-population-demographics.md, https://github.com/department-of-veterans-affairs/va.gov-team/blob/master/platform/research/discovery-sprints/veteran-population-demographics.md, url doesn't exist, none 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice%20Areas/Research/Request%20or%20Do%20Research/Planning%20and%20Process%20Management/readme.md, https://github.com/department-of-veterans-affairs/va.gov-team/tree/master/platform/research/planning, url doesn't exist, none 
../platform/accessibility/508-accessibility-best-practices.md, https://github.com/department-of-veterans-affairs/vets.gov-team/blob/master/Practice%20Areas/Research/Request%20or%20Do%20Research/Planning%20and%20Process%20Management/Conversation-guide-template.md, https://github.com/department-of-veterans-affairs/va.gov-team/blob/master/platform/research/planning/conversation-guide-template.md, url doesn't exist, none 
