UNITID,INSTNM,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,VETURL,ATHURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,IALIAS,INSTCAT,CCBASIC,CCIPUG,CCIPGRAD,CCUGPROF,CCENRPRF,CCSIZSET,CARNEGIE,LANDGRNT,INSTSIZE,CBSA,CBSATYPE,CSA,NECTA,F1SYSTYP,F1SYSNAM,F1SYSCOD,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE
100636,Community College of the Air Force,100 S Turner Blvd,Montgomery,AL,36114-3011,1,0,Michael Artelli,Commandant,3346495000,-1,1230800,5,www.au.af.mil/au/barnes/ccaf/, , , ,myaf.mil,myaf.mil, ,99,-3,-3,-3,-3,-3,-3,-3,2,-1,-1,2,12,0,A ,-2,-2,-2,1,1,2,6,-1,CCAF,-1,-3,-3,-3,-3,-3,-3,-3,2,-2,33860,1,-2,-2,-1, ,-1,1101,Montgomery,102,-86.244548,32.406138
100654,Alabama A & M University,4900 Meridian Street,Normal,AL,35762,1,5,"Dr. Andrew Hugine, Jr.",President,2563725000,636001109,100200,1,www.aamu.edu/,www.aamu.edu/admissions/pages/default.aspx,www.aamu.edu/Admissions/fincialaid/Pages/default.aspx,www.aamu.edu/Admissions/apply/Pages/default.aspx,galileo.aamu.edu/netpricecalculator/npcalc.htm, ,www.aamu.edu,1,1,1,9,1,1,12,1,1,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,AAMU,2,18,13,18,9,4,14,16,1,3,26620,1,290,-2,2, ,-2,1089,Madison,105,-86.568502,34.783368
100663,University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,35294-0110,1,5,Ray L. Watts,President,2059344011,636005396,105200,1,www.uab.edu,www.uab.edu/students/undergraduate-admissions,www.uab.edu/students/paying-for-college,https://idm.uab.edu/myuab/login?from=ugadmapp,www.collegeportraits.org/AL/UAB/estimator/agree,www.uab.edu/students/veterans,www.uabsports.com/compliance/prospects-new.html,1,1,1,9,1,1,11,1,2,1,1,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,15,11,17,8,5,15,15,2,4,13820,1,142,-2,1,The University of Alabama System,101050,1073,Jefferson,107,-86.80917,33.50223
100690,Amridge University,1200 Taylor Rd,Montgomery,AL,36117-3553,1,5,Michael Turner,President,3.34388E+13,237034324,2503400,1,www.amridgeuniversity.edu,www.amridgeuniversity.edu/admissions/,www.amridgeuniversity.edu/financial-aid/,https://www.amridgeuniversity.edu/myamridge/,www2.amridgeuniversity.edu:9091/,www.amridgeuniversity.edu/financial-aid/military/, ,2,1,2,9,1,1,11,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,Southern Christian University |Regions University,2,21,11,13,6,5,6,51,2,1,33860,1,-2,-2,2, ,-2,1101,Montgomery,102,-86.17401,32.362609
100706,University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,35899,1,5,Robert A. Altenkirch,President,2568246120,630520830,105500,1,www.uah.edu,admissions.uah.edu/,finaid.uah.edu/,register.uah.edu,finaid.uah.edu/,www.uah.edu/admissions/graduate/financial-aid/veterans,www.uah.edu/heoa,1,1,1,9,1,1,11,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,UAH |University of Alabama Huntsville,2,15,14,17,8,4,12,16,2,3,26620,1,290,-2,1,The University of Alabama System,101050,1089,Madison,105,-86.63842,34.722818
100724,Alabama State University,915 S Jackson Street,Montgomery,AL,36104-0271,1,5,Gwen Boyd,President,3342294100,636001101,100500,1,www.alasu.edu,www.alasu.edu/admissions/undergrad-admissions/index.aspx,www.alasu.edu/cost-aid/index.aspx/, ,www.alasu.edu/cost-aid/forms/calculator/index.aspx/, ,www.alasu.edu/about-asu/institutional-planning-and-effectiveness/institutional-research/graduation-retention-rates/index.aspx,1,1,1,9,1,1,11,1,1,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,18,10,12,9,4,13,21,2,3,33860,1,-2,-2,2, ,-2,1101,Montgomery,107,-86.295677,32.364317
100733,University of Alabama System Office,500 University Blvd. East,Tuscaloosa,AL,35401,1,5,Robert Witt,Chancellor,2053485122,636001138,800400,2,www.uasystem.ua.edu, , , ,www.uasystem.ua.edu, , ,0,1,1,9,1,1,11,1,2,2,-2,2,13,1,A ,-2,-2,-2,1,1,1,1,-2, ,-2,-3,-3,-3,-3,-3,-3,-3,2,-2,46220,1,-2,-2,1,The University of Alabama System,101050,1125,Tuscaloosa,107,-87.530049,33.206704
100751,The University of Alabama,739 University Blvd,Tuscaloosa,AL,35487-0166,1,5,Dr. Judith L. Bonner,President,2053486010,636001138,105100,1,www.ua.edu/,gobama.ua.edu,financialaid.ua.edu,apply.ua.edu,financialaid.ua.edu/net-price-calculator/,registrar.ua.edu/policies/residency/residency-tuition/,registrar.ua.edu/policies/right-to-know,1,1,1,9,1,1,11,1,2,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1, ,2,16,14,15,10,4,16,15,2,5,46220,1,-2,-2,1,The University of Alabama System,101050,1125,Tuscaloosa,107,-87.545766,33.2144
100760,Central Alabama Community College,1675 Cherokee Rd,Alexander City,AL,35010,1,5,Dr. Susan Burrow,President,2562346346,631022757,100700,1,www.cacc.edu,www.cacc.edu/index.php?submenu=Admissions&src=gendocs&ref=Admissions&category=Admissions,www.cacc.edu/index.php?submenu=Financial_Aid&src=gendocs&ref=Financial%20Aid&category=Financial%20Aid, ,www.cacc.edu/graphics/netpricecalculator/npcalc.htm,www.cacc.edu,www.cacc.edu,4,2,1,3,1,2,40,1,2,2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1, ,4,2,1,-1,3,1,2,40,2,2,-2,-2,-2,-2,1,Alabama Community College System,101030,1123,Tallapoosa,103,-85.94653,32.924429
100812,Athens State University,300 N Beaty St,Athens,AL,35611,1,5,Robert Glenn,President,2562338100,630701340,100800,1,www.athens.edu,www.athens.edu/admissions,www.athens.edu/financial,www.athens.edu/apply,https://24.athens.edu/apex/prod8/f?p=174:1:3941357449598491, , ,1,1,1,5,1,2,30,1,2,2,2,2,31,1,A ,-2,-2,-2,1,1,1,1,1, ,2,22,12,-1,5,2,9,32,2,2,26620,1,290,-2,2, ,-2,1083,Limestone,105,-86.96514,34.805625
100830,Auburn University at Montgomery,7440 East Drive,Montgomery,AL,36117-3596,1,5,John G. Veres III,Chancellor,3342443000,636000724,831000,1,www.aum.edu,www.aum.edu/admissions,www.aum.edu/admissions/financial-information/financial-aid,www.aum.edu/admissions/step-by-step-guide-to-apply,www.aum.edu/admissions/financial-information/price-estimator-calculator,www.aum.edu/admissions/financial-affairs/financial-aid/veteran-services,www.aum.edu/academics/institutional-effectiveness/consumer-information,1,1,1,9,1,1,12,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,AUM|Auburn University Montgomery|Auburn University at Montgomery|Auburn Montgomery,2,18,13,6,8,4,12,21,2,3,33860,1,-2,-2,1,Auburn University,101040,1101,Montgomery,102,-86.177351,32.369939
100858,Auburn University,"Auburn, Alabama",Auburn University,AL,36849,1,5,Jay Gogue,President,3348444000,636000724,100900,1,www.auburn.edu,www.auburn.edu/admissions/,www.auburn.edu/administration/business_office/finaid/,www.auburn.edu/admissions/,www.auburn.edu/admissions/money-matters.html,www.auburn.edu/academic/provost/undergrad_studies/veterans/,https://oira.auburn.edu/factbook/acadinfo/retention/gsrncaa.aspx,1,1,1,9,1,1,11,1,2,2,1,2,13,1,A ,-2,-2,-2,1,1,1,1,1, ,2,16,14,14,13,4,15,15,1,5,12220,1,194,-2,1,Auburn University,101040,1081,Lee,103,-85.492409,32.600201
