clinic_id,site_code,timestamp,primaryStopCode,primaryStopCodeName,secondaryStopCodeName,patientFriendlyLocationName,directSchedulingPatient,vaStationName
128,358,2020-05-03T21:15:56.887590Z,407,OPHTHALMOLOGY,OPHTHALMOLOGY,EYE CLINIC,true,Manila VA Clinic
143,358,2020-04-23T20:42:30.922451Z,323,PRIMARY CARE/MEDICINE,PRIMARY CARE/MEDICINE,WHITE-DR. LUBAG,true,Manila VA Clinic
143,358,2020-04-23T20:41:28.891062Z,323,PRIMARY CARE/MEDICINE,PRIMARY CARE/MEDICINE,WHITE-DR. LUBAG,true,Manila VA Clinic
143,358,2020-04-23T20:45:11.297900Z,323,PRIMARY CARE/MEDICINE,PRIMARY CARE/MEDICINE,WHITE-DR. LUBAG,true,Manila VA Clinic
4673,459,2020-04-23T06:17:22.602495Z,338,TELEPHONE PRIMARY CARE,*Missing*,GUA PACT TELE DR MARZULLO,,Guam VA Clinic
4673,459,2020-04-22T23:30:04.100718Z,338,TELEPHONE PRIMARY CARE,*Missing*,GUA PACT TELE DR MARZULLO,,Guam VA Clinic
4673,459,2020-04-22T23:27:18.025290Z,338,TELEPHONE PRIMARY CARE,*Missing*,GUA PACT TELE DR MARZULLO,,Guam VA Clinic
4673,459,2020-04-23T06:17:41.153127Z,338,TELEPHONE PRIMARY CARE,*Missing*,GUA PACT TELE DR MARZULLO,,Guam VA Clinic
6793,459,2020-04-24T22:48:44.977739Z,323,PRIMARY CARE/MEDICINE,*Missing*,,false,Spark M. Matsunaga Department of Veterans Affairs Medical Center
6793,459,2020-04-24T22:43:58.427817Z,323,PRIMARY CARE/MEDICINE,*Missing*,,false,Spark M. Matsunaga Department of Veterans Affairs Medical Center
7198,459,2020-04-22T23:31:05.732761Z,502,MENTAL HEALTH CLINIC - IND,RT CLIN VID CARE HOME,,false,Guam VA Clinic
6649,506,2020-04-28T11:30:19.046096Z,303,CARDIOLOGY,NURSE PRACTITIONER,,false,Ann Arbor VA Medical Center
7273,506,2020-04-28T11:28:59.604940Z,150,COMPUTERIZED TOMOGRAPHY (CT),*Missing*,,false,Ann Arbor VA Medical Center
7273,506,2020-05-01T12:13:59.622224Z,150,COMPUTERIZED TOMOGRAPHY (CT),*Missing*,,false,Ann Arbor VA Medical Center
7273,506,2020-04-28T11:29:34.496568Z,150,COMPUTERIZED TOMOGRAPHY (CT),*Missing*,,false,Ann Arbor VA Medical Center
7273,506,2020-05-01T15:22:32.159693Z,150,COMPUTERIZED TOMOGRAPHY (CT),*Missing*,,false,Ann Arbor VA Medical Center
6410,508,2020-04-27T14:55:03.669968Z,407,OPHTHALMOLOGY,*Missing*,,false,Oakwood VA Clinic
5051,509,2020-04-30T14:39:16.982024Z,502,MENTAL HEALTH CLINIC - IND,NURSING (2ND ONLY),,false,Athens VA Clinic
12039,512,2020-05-04T12:47:28.633429Z,205,PHYSICAL THERAPY,RT CLIN VID CARE HOME,BT PT VVC,false,Baltimore VA Medical Center
13012,512,2020-05-05T17:10:07.837249Z,324,TELEPHONE/MEDICINE,GASTROENTEROLOGY,BT GI EAGLE PHONE,false,Baltimore VA Medical Center
3243,515,2020-05-04T11:17:42.490717Z,304,DERMATOLOGY,SF TH PAT SITE,BAC/TELEDERM SCREEN PATIENT SFT,false,Battle Creek VA Medical Center
3243,515,2020-05-04T11:18:13.993349Z,304,DERMATOLOGY,SF TH PAT SITE,BAC/TELEDERM SCREEN PATIENT SFT,false,Battle Creek VA Medical Center
3243,515,2020-05-04T11:17:33.819271Z,304,DERMATOLOGY,SF TH PAT SITE,BAC/TELEDERM SCREEN PATIENT SFT,false,Battle Creek VA Medical Center
3243,515,2020-05-04T11:16:59.737222Z,304,DERMATOLOGY,SF TH PAT SITE,BAC/TELEDERM SCREEN PATIENT SFT,false,Battle Creek VA Medical Center
